,rmse_mean,rmse_std,mae_mean,r2_mean,sep_mean
GaussianProcess (2nd deriv),0.7367847381083252,0.33886067537971853,0.4845829005270898,0.995924734876304,0.7356739506855354
Stacking,2.209337245186283,0.5986794808500242,1.457481528701489,0.9676174522780001,2.2018185261685295
MLP,2.3281647707562243,0.48348482092631645,1.7065891297731997,0.9643021692449912,2.296834550390052
PLS (SNV),2.4194819644473595,0.6830164165506398,1.6574940010245953,0.9599859422299224,2.4123804517626297
PLS (raw),2.579593370014547,0.5254401992776937,1.7824024741490143,0.9564269303960026,2.560572951354386
PCR,2.795268689742948,0.6258303879274452,1.9748555876564808,0.9490629879558391,2.7777464487986148
PLS (2nd deriv),2.9153758825323592,0.7437514149954968,1.9585967318583015,0.9427864596455144,2.904372368338758
KernelRidge (2nd deriv),3.4357308641549293,1.6261609517430178,1.5208362226543182,0.915181269939004,3.325562594870545
Ridge,3.6420535485987897,0.3468991386194959,3.0516417164467398,0.9151666785271112,3.628480160126027
SVR (RBF),5.974544351289068,1.0372062964820226,4.2084152630492415,0.765847803064744,5.95926870967144
GradientBoosting,7.304078957328809,1.1536763794152236,5.425327041772383,0.6549478112263487,7.294451357711892
